Listing_name;Listing_location;Listing_price
PREDAJ︱3-izbový byt, Vranovská, Petržalka;Vranovská, Bratislava-Petržalka, okres Bratislava V;229000
PRIVÁTNY MAKLÉR | ARMÉNSKA - bývajte v tehle bez ďalších investícií a parkovaním v cene!;Bratislava-Vrakuňa, okres Bratislava II;184900
Predaj stavebný pozemok Nižný Klátov;Klátovská, Nižný Klátov, okres Košice - okolie;253700
Berg & Bauman – PREDAJ - veľkometrážny 4-izbový byt, TOP REKONŠTRUKCIA;Estónska, Bratislava-Vrakuňa, okres Bratislava II;209900
Berg & Bauman – PREDAJ -  veľkometrážny 4-izbový byt, TOP REKONŠTRUKCIA;Estónska, Bratislava-Vrakuňa, okres Bratislava II;209900
Luxusný dizajnovo zariadený 7 izbový byt s privátnym výťahom na Dulovom námestí;Niťová, Bratislava-Ružinov, okres Bratislava II;-1
NOVÝ, EŠTE NEOBÝVANÝ 3-IZBOVÝ BYT V NOVOSTAVBE V BLÍZKOSTI DOWNTOWNU, PARKING;Prístavná 7, Bratislava-Ružinov, okres Bratislava II;1 000
VÝBORNÁ INVESTÍCIA:  1,5 izbový byt vo výbornej lokalite, 2 x balkón,  rozloha bytu 43 m2, RIAZANSKÁ ulica, neďaleko VIVO Center.;Riazanská, Bratislava-Nové Mesto, okres Bratislava III;178000
DOM-REALÍT. PRIPRAVUJEME,  novší 5 izbový dom s peknou záhradou v pokojnej lokalite;Malinovo, okres Senec;449000
DOM-REALÍT, priestranný 2-izbový byt v novšej stavbe;Martinčekova 13, Bratislava-Ružinov, okres Bratislava II;269000
Nový, ešte neobývaný 1-izbový byt v novostavbe v blízkosti downtownu;Prístavná, Bratislava-Ružinov, okres Bratislava II;650
KVALITNE A MODERNE ZREKONŠTRUOVANÝ 2I BYT S TERASOU A PIVNICOU;Cintorínska, Bratislava-Staré Mesto, okres Bratislava I;239000
NOVÁ CENA! ZARIADENÝ 2i BYT, ul. MALLÉHO, SKALICA;Mallého, Skalica, okres Skalica;89000
BOSEN | Zaujímavý apartmán v Mýte pod Ďumbierom, 62 m2;Mýto pod Ďumbierom, okres Brezno;179990
BOSEN | Zariadený 2-izbový byt s balkónom na prenájom;Karpatská, Poprad, okres Poprad;870
Nadštandardný 3-izbový byt Rusovce;Vývojová, Bratislava-Rusovce, okres Bratislava V;219900
Na prenájom 3-izbový byt v tichej lokalite v meste Martin v časti Ľadoveň;Martin, okres Martin;700
Na predaj pozemok v lokalite Necpaly;ulica, Necpaly, okres Martin;89900
Na predaj zrekonštruovaný 2-izbový byt vo vyhľadávanej lokalite mesta Martin - Sever;ulica, Martin, okres Martin;139900
BOSEN | Na predaj zariadený 3 izbový rodinný dom po kompletnej rekonštrukcii Borský Mikuláš;Borský Mikuláš, Borský Mikuláš, okres Senica;230000
BOSEN | 4 izbový rodinný dom v dvojdome so záhradou;Slivková, Veľký Biel, okres Senec;249900
BOSEN | Na predaj novostavba 5 izbového rodinného domu Malacky - Píniová Alej;Píniová Alej, Malacky, okres Malacky;395000
ČAROVNÝ CHALET S NÁDHERNÝM POZEMKOM V SRDCI DONOVAL;Donovaly, okres Banská Bystrica;749000
PREDPREDAJ: 2-izbový byt v projekte Scenéria v Žiline (208);Hôrecká cesta, Žilina, okres Žilina;166743
LUXUSNÝ MODERNÝ RODINNÝ DOM S DESIGNOVOU ZÁHRADOU;Košúty, okres Galanta;370000
PONÚKAM VÁM NA PRENÁJOM BYT S DISPOZÍCIOU 2+1;Kpt. Rašu, Bratislava-Dúbravka, okres Bratislava IV;815
TOP PONUKA!  Rekreačná chata s jedinečnou polohou;Liptovský Trnovec, okres Liptovský Mikuláš;799000
Predam byt po kompletnej rekonstrukcii;Bílikova, Bratislava-Dúbravka, okres Bratislava IV;169990
Veľkometrážny 3-izbový ateliér v prémiovom projekte v blízkosti downtownu, možný odpočet DPH;Prístavná 1, Bratislava-Staré Mesto, okres Bratislava I;512940
1 izbový byt Hodruša Hámre;Hodruša-Hámre, okres Žarnovica;42000
